Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,PV_Panels,bomCost,Angle,BattX,BattZ,CompX,CompZ,GyroX,GyroZ
None,None,None,None,None,None,None,None,None,3,235066.0,179.025448542,869.43654142,221.292600084,-498.413457659,-365.833500555,-462.627150797,6.49253564303
None,None,None,None,None,None,None,None,None,3,235066.0,178.587665934,-246.3741681,294.145420354,482.689510045,-195.710487242,558.470973596,29.6553471027
None,None,None,None,None,None,None,None,None,3,235066.0,179.016401728,378.942720441,214.288678803,-7.84795896437,-228.945290708,244.152243502,46.5179116098
None,None,None,None,None,None,None,None,None,3,235066.0,178.185269986,-78.1861153127,234.679568389,920.427071368,-189.107556992,-400.151052037,-28.1748023454
None,None,None,None,None,None,None,None,None,3,235066.0,178.814743403,337.6293243,288.465603078,-994.341910819,-286.259814101,-248.804195578,39.6838254516
None,None,None,None,None,None,None,None,None,3,235066.0,178.166894772,-822.448126782,238.216740677,82.8241477985,-288.829681124,-308.461380932,-42.4004720541
None,None,None,None,None,None,None,None,None,3,235066.0,179.017055221,200.043220821,166.075392841,676.174320691,-193.549599528,498.446318729,-2.37194966386
None,None,None,None,None,None,None,None,None,3,235066.0,178.551941392,-749.794825455,192.897321608,791.633470054,-240.868369271,-567.832665439,-11.890088556
None,None,None,None,None,None,None,None,None,3,235066.0,178.17833027,-266.888683969,290.971934701,134.506903627,-217.448338581,52.2111774754,-19.3411661662
None,None,None,None,None,None,None,None,None,3,235066.0,179.085509889,-348.687748545,214.432202351,-515.035989265,-211.2174502,-450.845487054,27.1412324496
None,None,None,None,None,None,None,None,None,3,235066.0,178.5631783,224.766349236,251.759480456,452.480216624,-273.180881821,759.459798591,-36.9899661682
None,None,None,None,None,None,None,None,None,3,235066.0,179.407917712,-131.378104849,277.632310442,972.243238723,-161.829081456,595.738459667,12.6420866675
None,None,None,None,None,None,None,None,None,3,235066.0,178.571339169,565.984243492,239.572732116,-402.387084743,-165.447320764,-866.906930881,8.67367926364
None,None,None,None,None,None,None,None,None,3,235066.0,179.998409372,-624.760317603,248.922417209,-400.792797974,-154.113932675,-404.177737542,-11.1783462691
None,None,None,None,None,None,None,None,None,3,235066.0,179.215936128,246.508470865,204.37824741,-498.398596423,-161.489332823,-415.862275346,-26.1888197212
None,None,None,None,None,None,None,None,None,3,235066.0,178.868304632,-684.396601613,165.244756364,-757.731345435,-397.332280959,748.577172117,35.445900197
None,None,None,None,None,None,None,None,None,3,235066.0,178.719754764,992.784614382,199.173900342,-145.877087561,-205.914644671,-736.202655051,41.9658655949
None,None,None,None,None,None,None,None,None,3,235066.0,179.053546181,747.965367503,272.605875555,891.011470379,-218.873585892,-305.426549159,-9.91902822831
None,None,None,None,None,None,None,None,None,3,235066.0,178.299607687,-688.680869758,248.794394619,-224.282615287,-176.336059202,100.476979735,-6.82328288517
None,None,None,None,None,None,None,None,None,3,235066.0,178.085752089,861.754443358,263.619359863,-933.508726529,-278.836279896,-201.061028991,-7.52766957086
None,None,None,None,None,None,None,None,None,3,235066.0,179.46300477,358.789225903,191.780411521,216.844453545,-291.651889794,421.986549252,-36.9812514466
None,None,None,None,None,None,None,None,None,4,249066.0,179.668238324,-337.92957141,210.744293985,-908.182296093,-202.921771333,289.499220694,44.0186465703
None,None,None,None,None,None,None,None,None,4,249066.0,178.208842999,772.582874684,239.968556482,-25.7415644328,-182.789533038,34.0951724551,-47.9179243234
None,None,None,None,None,None,None,None,None,4,249066.0,178.84490692,-451.905907409,209.816439122,-29.3341572832,-380.126741722,-702.475458437,4.53275698107
None,None,None,None,None,None,None,None,None,4,249066.0,178.278355273,929.257494514,226.873967967,336.154098094,-252.632819533,-50.3701794694,28.1531522073
None,None,None,None,None,None,None,None,None,4,249066.0,178.626281786,687.273033865,269.474730666,347.842932187,-290.744128092,443.799853913,3.93144291718
None,None,None,None,None,None,None,None,None,4,249066.0,179.751665508,812.040337038,221.072484758,-891.764828315,-264.123686954,-860.824911049,-46.721717058
None,None,None,None,None,None,None,None,None,4,249066.0,178.55784468,-965.362814776,212.676145682,921.735604325,-321.857872755,-97.5881490384,-23.6097790714
None,None,None,None,None,None,None,None,None,4,249066.0,179.235058995,914.797295916,236.071122802,352.069598317,-164.275602433,-470.74144263,38.9775201198
None,None,None,None,None,None,None,None,None,4,249066.0,179.031333835,742.774459456,208.966840091,-953.578614487,-274.74984998,598.30429888,-42.9869593364
None,None,None,None,None,None,None,None,None,4,249066.0,178.050057828,963.131509323,183.430728612,747.392931387,-162.386213078,-450.34255742,38.1284836117
None,None,None,None,None,None,None,None,None,4,249066.0,178.966428449,299.534658832,188.804315494,-996.703106712,-291.820758651,636.302121688,44.1070362586
None,None,None,None,None,None,None,None,None,4,249066.0,178.920634156,-739.35847304,232.765310659,-636.413287384,-367.277531811,896.617016879,-49.7862786836
None,None,None,None,None,None,None,None,None,4,249066.0,179.916382228,75.4355205938,287.311190866,632.930176676,-352.988692231,-251.953578779,-4.64202178338
None,None,None,None,None,None,None,None,None,4,249066.0,178.630317564,-394.688448084,245.244518852,-15.7322454283,-301.602951126,90.1946793909,-47.1415822413
None,None,None,None,None,None,None,None,None,4,249066.0,178.466841309,-741.113326998,183.427653596,-417.139583303,-172.934834951,-145.245025863,-34.6948425538
None,None,None,None,None,None,None,None,None,4,249066.0,179.562378538,21.2161236847,189.358596799,709.513934814,-214.546474145,1.19372970017,-17.2432436049
None,None,None,None,None,None,None,None,None,4,249066.0,179.080051715,864.506387117,238.583201827,-627.823623333,-274.52711506,-915.24486193,-12.4497630124
None,None,None,None,None,None,None,None,None,4,249066.0,179.082354553,-639.280156252,182.026683631,-43.465976431,-150.947877914,-263.660279568,1.61988353257
None,None,None,None,None,None,None,None,None,4,249066.0,179.062512164,809.208291052,256.891611495,-89.5143576132,-159.766003444,-780.696177356,27.3212381143
None,None,None,None,None,None,None,None,None,4,249066.0,178.486554635,703.828799595,151.040831625,-276.729801731,-219.274053234,-618.431164975,-45.614164495
None,None,None,None,None,None,None,None,None,4,249066.0,179.129810277,-912.613466937,181.060371269,-886.528405517,-348.041573052,638.297993901,-22.5962966505
None,None,None,None,None,None,None,None,None,4,249066.0,179.944705479,500.287821666,185.036678998,221.293965024,-274.864651177,-934.033866122,16.8419098917
None,None,None,None,None,None,None,None,None,4,249066.0,178.846249318,306.716200007,232.078510066,-337.904421814,-352.508572153,843.43929786,-39.4624668364
None,None,None,None,None,None,None,None,None,4,249066.0,178.94004325,880.352154918,195.914338799,287.178628691,-155.383069851,-598.658176346,-42.7564173948
None,None,None,None,None,None,None,None,None,4,249066.0,178.061694865,995.842800539,253.132714028,-766.323554861,-221.208858059,-214.962045687,-17.7460094897
None,None,None,None,None,None,None,None,None,4,249066.0,178.589604829,856.781434361,179.879404199,-473.765981877,-158.773775153,-47.2317486665,-2.56345432303
None,None,None,None,None,None,None,None,None,4,249066.0,179.880919485,941.392662852,282.237401358,760.547759119,-155.418473013,-683.896161419,18.5546531847
None,None,None,None,None,None,None,None,None,4,249066.0,178.920237567,-614.7053152,283.865188017,386.056493934,-351.133856702,431.82847236,-29.5977748701
None,None,None,None,None,None,None,None,None,4,249066.0,179.082175918,383.10408549,192.406888461,-632.234348685,-193.029790114,463.43791162,35.5037911452
None,None,None,None,None,None,None,None,None,4,249066.0,179.74928744,706.591264706,156.297329573,275.079419768,-244.078498782,-190.712949314,-5.11411379221
None,None,None,None,None,None,None,None,None,4,249066.0,179.55367446,667.110266302,218.631117981,960.801463625,-339.959818537,101.008848508,-17.0383608198
None,None,None,None,None,None,None,None,None,4,249066.0,179.432105884,-727.872750339,159.279024676,492.207721315,-326.907390294,-787.488950111,-28.3057203415
None,None,None,None,None,None,None,None,None,4,249066.0,179.747045406,26.1325426407,165.064712302,886.670216076,-273.420443091,-86.2246915594,-49.5385958631
None,None,None,None,None,None,None,None,None,4,249066.0,178.122020589,-320.692673015,184.085094632,591.23568538,-172.72601002,946.294317417,2.58530979396
